x y pen
66 31 1
66 31 1
67 31 1
68 31 1
69 32 1
70 33 1
70 34 1
70 39 1
69 40 1
68 41 1
67 41 1
66 41 1
65 40 1
65 40 1
64 40 1
64 40 1
63 39 1
61 37 1
60 37 1
58 37 1
57 38 1
57 38 1
57 38 0
57 38 0
40 60 1
40 60 1
40 61 1
40 61 1
41 61 1
43 61 1
44 60 1
44 60 1
45 60 1
47 60 1
48 59 1
48 59 1
49 59 1
50 59 1
50 58 1
50 58 1
51 57 1
51 57 1
51 56 1
51 55 1
52 55 1
61 55 1
62 56 1
64 58 1
65 58 1
65 58 1
66 59 1
66 59 1
67 59 1
67 59 1
68 58 1
68 58 1
69 58 1
69 58 1
70 57 1
70 57 1
70 57 0
70 57 0
65 60 1
65 60 1
64 60 1
63 60 1
62 59 1
62 59 1
61 59 1
61 59 1
61 58 1
61 58 1
60 58 1
60 58 1
60 57 1
60 57 1
59 57 1
53 57 1
53 58 1
53 58 1
54 59 1
54 59 1
55 59 1
57 59 1
58 60 1
59 61 1
60 61 1
60 61 1
61 62 1
61 62 1
62 62 1
64 62 1
65 61 1
65 61 1
65 61 0
65 61 0
33 62 1
33 62 1
33 63 1
33 65 1
34 66 1
34 66 1
34 67 1
34 67 1
35 67 1
35 67 1
34 68 1
34 68 1
34 69 1
34 70 1
33 70 1
33 70 1
33 70 0
33 70 0
32 61 1
32 61 1
32 60 1
32 60 1
31 59 1
31 59 1
31 58 1
31 58 1
30 58 1
30 58 1
30 57 1
30 57 1
30 57 0
30 57 0
71 55 1
71 55 1
71 54 1
71 53 1
71 53 0
71 53 0
68 49 1
68 49 1
67 49 1
59 49 1
58 48 1
58 48 1
57 48 1
57 48 1
56 49 1
56 49 1
55 49 1
52 49 1
52 48 1
52 47 1
53 47 1
56 47 1
57 46 1
57 46 1
57 45 1
57 45 1
58 44 1
58 44 1
58 43 1
58 40 1
59 39 1
59 39 1
60 39 1
60 39 1
60 40 1
60 40 1
61 40 1
61 40 1
61 41 1
61 41 1
62 41 1
62 41 1
63 42 1
63 42 1
64 42 1
64 42 1
65 43 1
65 43 1
65 44 1
65 44 1
64 45 1
64 45 1
63 45 1
61 45 1
60 46 1
60 46 1
59 46 1
59 46 1
58 47 1
58 47 1
58 47 0
58 47 0
60 44 1
60 44 1
59 44 1
59 44 1
59 44 0
59 44 0
56 44 1
56 44 1
56 43 1
56 43 1
55 43 1
55 43 1
54 44 1
54 44 1
53 44 1
52 44 1
51 45 1
51 45 1
50 45 1
47 45 1
47 44 1
47 43 1
48 43 1
51 43 1
52 42 1
52 42 1
53 42 1
54 42 1
55 41 1
55 41 1
56 41 1
56 41 1
56 40 1
56 40 1
56 40 0
56 40 0
63 48 1
63 48 1
62 47 1
62 47 1
62 47 0
62 47 0
69 50 1
69 50 1
70 50 1
70 50 1
70 51 1
70 51 1
70 51 0
70 51 0
58 25 1
58 25 1
58 24 1
58 24 1
57 23 1
57 23 1
57 22 1
57 20 1
56 20 1
56 20 1
56 19 1
56 19 1
55 18 1
54 17 1
53 17 1
44 17 1
44 18 1
44 20 1
43 20 1
42 20 1
42 21 1
42 21 1
41 21 1
41 21 1
40 22 1
40 22 1
40 23 1
40 23 1
39 24 1
38 25 1
37 25 1
37 25 1
37 25 0
37 25 0
37 28 1
37 28 1
36 28 1
36 28 1
36 28 0
36 28 0
13 66 1
13 66 1
13 65 1
13 64 1
14 64 1
16 64 1
16 65 1
16 66 1
15 66 1
14 66 1
14 66 0
14 66 0
6 57 1
6 57 1
6 56 1
6 55 1
7 54 1
7 54 1
7 53 1
7 52 1
8 51 1
10 49 1
11 49 1
11 49 1
11 48 1
11 44 1
12 44 1
12 44 1
12 44 0
12 44 0
24 65 1
24 65 1
25 65 1
27 65 1
28 66 1
30 68 1
30 69 1
30 69 1
30 69 0
30 69 0
25 67 1
25 67 1
26 67 1
26 67 1
26 68 1
26 68 1
27 68 1
27 68 1
27 69 1
27 69 1
28 69 1
28 69 1
28 70 1
28 70 1
29 71 1
29 71 1
30 71 1
30 71 1
30 71 0
30 71 0
33 72 1
33 72 1
33 72 0
